message_id,text,intent_label,sentiment,urgency_level,classification_confidence,channel,language,word_count,response_time_hours,is_resolved,csat_score,processed_text,sentiment_scores,sentiment_compound,sentiment_label
MSG-1011,The Smart Thermostat overheats when running SecureNet VPN for more than 5 minutes.,technical_issue,negative,high,0.904,phone,ar,13,24.9,True,2.0,the smart thermostat overheat when run securenet vpn for more than 5 minute,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",0.4019,Positive
MSG-1012,Transfer my CloudSync subscription to a different email address.,request,neutral,medium,0.813,social_media,en,9,67.8,True,3.0,transfer my cloudsync subscription to a different email address,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1013,Switched to your VR Headset Plus from a competitor and couldn't be happier.,feedback_positive,positive,low,0.893,email,de,13,42.7,True,5.0,switch to your vr headset plus from a competitor and could not be happy,"{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.4168}",-0.4168,Negative
MSG-1014,Is E-Reader Glow eligible for the current promotion?,inquiry,neutral,low,0.976,email,en,8,55.5,True,4.0,be ereader glow eligible for the current promotion,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1015,The DroneFlyer Mini overheats when running CloudSync for more than 57 minutes.,technical_issue,negative,critical,0.786,social_media,ar,12,58.1,False,,the droneflyer mini overheat when run cloudsync for more than 57 minute,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1016,Been a loyal customer for 29 years. AirBuds Max quality never disappoints.,feedback_positive,positive,low,0.759,social_media,pt,12,62.0,True,5.0,be a loyal customer for 29 year airbuds max quality never disappoint,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6467}",0.6467,Positive
MSG-1017,Your FitTrack AI app makes managing my HomeHub Speaker so easy.,feedback_positive,positive,low,0.841,email,en,11,10.2,True,4.0,your fittrack ai app make manage my homehub speaker so easy,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.5777}",0.5777,Positive
MSG-1018,Your GamePass Pro app makes managing my Robot Vacuum X so easy.,feedback_positive,positive,low,0.926,social_media,en,12,35.9,True,5.0,your gamepass pro app make manage my robot vacuum x so easy,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.5777}",0.5777,Positive
MSG-1019,Please send me a replacement LaptopAir M3 in Arctic White.,request,neutral,medium,0.733,in_app,es,10,20.3,False,,please send I a replacement laptopair m3 in arctic white,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.3182}",0.3182,Positive
MSG-1020,The new SmartWatch Pro update is fantastic. Love the improvements.,feedback_positive,positive,low,0.828,social_media,en,10,41.1,True,5.0,the new smartwatch pro update be fantastic love the improvement,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.8779}",0.8779,Positive
MSG-1021,The new CloudCam 360 update is fantastic. Love the improvements.,feedback_positive,positive,low,0.755,in_app,en,10,7.1,True,5.0,the new cloudcam 360 update be fantastic love the improvement,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.8779}",0.8779,Positive
MSG-1022,The new PowerBank Titan update is fantastic. Love the improvements.,feedback_positive,positive,low,0.757,email,en,10,24.0,True,5.0,the new powerbank titan update be fantastic love the improvement,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.8779}",0.8779,Positive
MSG-1023,Bluetooth pairing fails between HomeHub Speaker and my other devices.,technical_issue,negative,high,0.92,phone,pt,10,21.6,True,3.0,bluetooth pair fail between homehub speaker and my other device,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
MSG-1024,The LaptopAir M3 microphone doesn't work during GamePass Pro calls.,technical_issue,negative,high,0.878,email,fr,10,57.4,True,3.0,the laptopair m3 microphone do not work during gamepass pro call,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1025,Please send me a replacement VR Headset Plus in Coral Red.,request,neutral,high,0.89,live_chat,de,11,44.7,False,,please send I a replacement vr headset plus in coral red,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.3182}",0.3182,Positive
MSG-1026,Is the SmartWatch Pro available in Arctic White?,inquiry,neutral,medium,0.906,live_chat,fr,8,29.6,False,,be the smartwatch pro available in arctic white,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1027,I was charged $693.00 twice for the same SmartLock V2. Fix this immediately.,complaint,negative,medium,0.844,social_media,en,13,38.4,True,2.0,I be charge 69300 twice for the same smartlock v2 fix this immediately,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}",-0.2023,Negative
MSG-1028,Bluetooth pairing fails between FitBand Ultra and my other devices.,technical_issue,negative,high,0.806,live_chat,ar,10,25.2,True,2.0,bluetooth pair fail between fitband ultra and my other device,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
MSG-1029,Terrible customer experience. Waited 58 minutes on hold about my VR Headset Plus.,complaint,negative,medium,0.978,email,en,13,5.8,False,,terrible customer experience wait 58 minute on hold about my vr headset plus,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
MSG-1030,Been a loyal customer for 18 years. FitBand Ultra quality never disappoints.,feedback_positive,positive,low,0.92,email,pt,12,17.3,True,4.0,be a loyal customer for 18 year fitband ultra quality never disappoint,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6467}",0.6467,Positive
MSG-1031,The Midnight Black screen on my VR Headset Plus keeps flickering randomly.,technical_issue,negative,high,0.98,live_chat,en,12,70.4,True,3.0,the midnight black screen on my vr headset plus keep flicker randomly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1032,I need an invoice for my VR Headset Plus purchase of $307.00.,request,neutral,medium,0.864,in_app,en,12,52.1,True,4.0,I need an invoice for my vr headset plus purchase of 30700,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1033,I need to change the shipping address for my Portable Monitor order.,request,neutral,medium,0.873,email,en,12,7.8,True,4.0,I need to change the shipping address for my portable monitor order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1034,Transfer my PhotoCloud subscription to a different email address.,request,neutral,medium,0.764,email,es,9,33.1,True,4.0,transfer my photocloud subscription to a different email address,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1035,Your SmartHome Hub has been down for 44 hours and I can't access my account.,complaint,negative,high,0.859,phone,fr,15,6.3,True,2.0,your smarthome hub have be down for 44 hour and I can not access my account,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1036,What's the warranty period for the PowerBank Titan?,inquiry,neutral,medium,0.877,social_media,en,8,41.3,True,4.0,what s the warranty period for the powerbank titan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1037,Can you tell me if the VR Headset Plus is compatible with TechCare Plus?,inquiry,neutral,low,0.892,social_media,en,14,67.7,True,4.0,can you tell I if the vr headset plus be compatible with techcare plus,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1038,How long does shipping take for the LaptopAir M3 to Berlin?,inquiry,neutral,low,0.924,in_app,ar,11,57.8,True,4.0,how long do shipping take for the laptopair m3 to berlin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1039,The SmartLock V2 app crashes every time I open PhotoCloud.,technical_issue,negative,high,0.964,email,de,10,14.6,True,2.0,the smartlock v2 app crash every time I open photocloud,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1040,The new LaptopAir M3 update is fantastic. Love the improvements.,feedback_positive,positive,low,0.842,phone,en,10,37.0,True,5.0,the new laptopair m3 update be fantastic love the improvement,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.8779}",0.8779,Positive
MSG-1041,I'm getting error code E43352 when trying to use SmartLock V2.,technical_issue,negative,high,0.74,live_chat,pt,11,30.6,True,3.0,I m get error code e43352 when try to use smartlock v2,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative
MSG-1042,Your Portable Monitor broke after just 19 days of use. Totally unacceptable.,complaint,negative,high,0.988,phone,es,12,27.6,False,,your portable monitor break after just 19 day of use totally unacceptable,"{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.7264}",-0.7264,Negative
MSG-1043,Please refund the $895.00 charged for VR Headset Plus order #25549.,request,neutral,medium,0.863,in_app,fr,11,52.4,True,3.0,please refund the 89500 charge for vr headset plus order 25549,"{'neg': 0.137, 'neu': 0.687, 'pos': 0.176, 'compound': 0.128}",0.128,Positive
MSG-1044,I've contacted support 35 times about my LaptopAir M3 issue with no resolution.,complaint,negative,medium,0.794,social_media,en,13,67.5,True,1.0,I ve contact support 35 time about my laptopair m3 issue with no resolution,"{'neg': 0.138, 'neu': 0.692, 'pos': 0.17, 'compound': 0.128}",0.128,Positive
MSG-1045,Apply the promo code SAVE14 to my Smart Thermostat order.,request,neutral,medium,0.901,phone,pt,10,62.8,True,3.0,apply the promo code save14 to my smart thermostat order,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}",0.4019,Positive
MSG-1046,I need an invoice for my FitBand Ultra purchase of $899.00.,request,neutral,medium,0.94,social_media,en,11,52.7,True,4.0,I need an invoice for my fitband ultra purchase of 89900,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1047,Do you offer a student discount on Portable Monitor?,inquiry,neutral,low,0.958,in_app,pt,9,65.6,False,,do you offer a student discount on portable monitor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1048,Bluetooth pairing fails between SmartWatch Pro and my other devices.,technical_issue,negative,high,0.822,live_chat,en,10,54.3,False,,bluetooth pair fail between smartwatch pro and my other devices,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
MSG-1049,Is the CloudCam 360 available in Lavender Purple?,inquiry,neutral,medium,0.756,in_app,de,8,17.6,True,4.0,be the cloudcam 360 available in lavender purple,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1050,I ordered a Robot Vacuum X in Arctic White but received it in the wrong color.,complaint,negative,medium,0.883,phone,pt,16,62.9,True,3.0,I order a robot vacuum x in arctic white but receive it in the wrong color,"{'neg': 0.257, 'neu': 0.743, 'pos': 0.0, 'compound': -0.631}",-0.631,Negative
MSG-1051,The Forest Green screen on my LaptopAir M3 keeps flickering randomly.,technical_issue,negative,high,0.967,email,ar,11,50.1,True,3.0,the forest green screen on my laptopair m3 keep flicker randomly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1052,How do I track my PowerBank Titan order placed 30 days ago?,inquiry,neutral,medium,0.958,social_media,de,12,33.6,False,,how do I track my powerbank titan order place 30 day ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1053,Switched to your PowerBank Titan from a competitor and couldn't be happier.,feedback_positive,positive,low,0.972,social_media,de,12,41.7,True,5.0,switch to your powerbank titan from a competitor and could not be happy,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.4168}",-0.4168,Negative
MSG-1054,The FitBand Ultra exceeded my expectations. Great value for $598.00.,feedback_positive,positive,low,0.926,social_media,en,10,35.2,True,5.0,the fitband ultra exceed my expectation great value for 59800,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}",0.7579,Positive
MSG-1055,I need to change the shipping address for my E-Reader Glow order.,request,neutral,medium,0.861,in_app,en,12,60.4,True,3.0,I need to change the shipping address for my ereader glow order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1056,The quality of HomeHub Speaker has gone downhill. Very disappointed.,complaint,negative,high,0.736,phone,es,10,46.0,False,,the quality of homehub speaker have go downhill very disappointed,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.5256}",-0.5256,Negative
MSG-1057,I'd like to cancel my MusicStream subscription effective immediately.,request,neutral,medium,0.984,social_media,de,9,1.3,False,,I d like to cancel my musicstream subscription effective immediately,"{'neg': 0.147, 'neu': 0.441, 'pos': 0.412, 'compound': 0.5574}",0.5574,Positive
MSG-1058,What's the return policy for Portable Monitor purchased 10 days ago?,inquiry,neutral,low,0.792,social_media,es,11,28.6,True,5.0,what s the return policy for portable monitor purchase 10 day ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1059,Apply the promo code SAVE44 to my FitBand Ultra order.,request,neutral,medium,0.829,email,en,10,27.2,False,,apply the promo code save44 to my fitband ultra order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1060,I've been waiting 32 days for my E-Reader Glow and it still hasn't arrived.,complaint,negative,medium,0.962,in_app,en,14,66.2,True,2.0,I ve be wait 32 day for my ereader glow and it still have not arrive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1061,Bluetooth pairing fails between CloudCam 360 and my other devices.,technical_issue,negative,critical,0.971,email,en,10,22.7,True,3.0,bluetooth pair fail between cloudcam 360 and my other device,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
MSG-1062,Can I upgrade my TechCare Plus plan to include Portable Monitor?,inquiry,neutral,medium,0.824,in_app,es,11,53.3,True,4.0,can I upgrade my techcare plus plan to include portable monitor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1063,Your TabletX 12 broke after just 22 days of use. Totally unacceptable.,complaint,negative,medium,0.891,social_media,en,12,56.4,False,,your tabletx 12 break after just 22 day of use totally unacceptable,"{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.7264}",-0.7264,Negative
MSG-1064,Can you escalate my PowerBank Titan complaint to a manager?,request,neutral,high,0.8,email,pt,10,17.8,True,3.0,can you escalate my powerbank titan complaint to a manager,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
MSG-1065,The TabletX 12 exceeded my expectations. Great value for $384.00.,feedback_positive,positive,low,0.817,social_media,ar,10,19.5,True,5.0,the tabletx 12 exceed my expectation great value for 38400,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7579}",0.7579,Positive
MSG-1066,I was charged $539.00 twice for the same TabletX 12. Fix this immediately.,complaint,negative,high,0.87,email,es,13,43.0,True,3.0,I be charge 53900 twice for the same tabletx 12 fix this immediately,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}",-0.2023,Negative
MSG-1067,I've contacted support 47 times about my TabletX 12 issue with no resolution.,complaint,negative,high,0.905,in_app,en,13,12.3,True,2.0,I ve contact support 47 time about my tabletx 12 issue with no resolution,"{'neg': 0.138, 'neu': 0.692, 'pos': 0.17, 'compound': 0.128}",0.128,Positive
MSG-1068,Been a loyal customer for 28 years. HomeHub Speaker quality never disappoints.,feedback_positive,positive,low,0.788,email,es,12,17.8,True,5.0,be a loyal customer for 28 year homehub speaker quality never disappoint,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.6467}",0.6467,Positive
MSG-1069,GPS accuracy on my FitBand Ultra is off by 9 meters.,technical_issue,negative,high,0.937,in_app,fr,11,23.8,True,3.0,gps accuracy on my fitband ultra be off by 9 meter,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1070,Can't connect my CloudCam 360 to WiFi after the latest firmware update.,technical_issue,negative,high,0.799,phone,es,12,50.1,False,,can not connect my cloudcam 360 to wifi after the late firmware update,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1071,The Space Gray screen on my PowerBank Titan keeps flickering randomly.,technical_issue,negative,high,0.88,in_app,en,11,39.3,True,3.0,the space gray screen on my powerbank titan keep flicker randomly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1072,What's the warranty period for the Smart Thermostat?,inquiry,neutral,medium,0.785,live_chat,en,8,47.5,False,,what s the warranty period for the smart thermostat,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,Positive
MSG-1073,Please refund the $425.00 charged for LaptopAir M3 order #76402.,request,neutral,medium,0.73,phone,de,10,69.7,True,3.0,please refund the 42500 charge for laptopair m3 order 76402,"{'neg': 0.149, 'neu': 0.661, 'pos': 0.19, 'compound': 0.128}",0.128,Positive
MSG-1074,What payment methods do you accept for HomeHub Speaker?,inquiry,neutral,medium,0.747,email,en,9,16.1,True,5.0,what payment method do you accept for homehub speaker,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,Positive
MSG-1075,Your GamePass Pro app makes managing my LaptopAir M3 so easy.,feedback_positive,positive,low,0.969,social_media,fr,11,6.3,True,5.0,your gamepass pro app make manage my laptopair m3 so easy,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.5777}",0.5777,Positive
MSG-1076,The Rose Gold PowerBank Titan looks even better in person. Highly recommend.,feedback_positive,positive,low,0.806,phone,ar,12,21.7,True,4.0,the rose gold powerbank titan look even well in person highly recommend,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6901}",0.6901,Positive
MSG-1077,Your TechCare Plus has been down for 60 hours and I can't access my account.,complaint,negative,high,0.809,in_app,en,15,30.8,False,,your techcare plus have be down for 60 hour and I can not access my account,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1078,Can I upgrade my StreamMax plan to include VR Headset Plus?,inquiry,neutral,low,0.841,in_app,en,11,31.0,True,4.0,can I upgrade my streammax plan to include vr headset plus,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1079,Do you offer a student discount on Smart Thermostat?,inquiry,neutral,medium,0.844,social_media,en,9,19.0,False,,do you offer a student discount on smart thermostat,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,Positive
MSG-1080,SecureNet VPN integration with DroneFlyer Mini stopped working yesterday.,technical_issue,negative,high,0.767,phone,pt,9,48.5,True,3.0,securenet vpn integration with droneflyer mini stop work yesterday,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative
MSG-1081,The VR Headset Plus app crashes every time I open StreamMax.,technical_issue,negative,high,0.858,social_media,en,11,30.2,True,3.0,the vr headset plus app crash every time I open streammax,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1082,Delete my account and all associated PhotoCloud data.,request,neutral,medium,0.758,phone,en,8,22.7,False,,delete my account and all associate photocloud datum,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1083,I'm getting error code E60324 when trying to use Robot Vacuum X.,technical_issue,negative,critical,0.83,in_app,ar,12,35.5,False,,I m get error code e60324 when try to use robot vacuum x,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative
MSG-1084,I need to change the shipping address for my AirBuds Max order.,request,neutral,medium,0.865,social_media,en,12,12.2,False,,I need to change the shipping address for my airbuds max order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1085,Bluetooth pairing fails between SmartLock V2 and my other devices.,technical_issue,negative,high,0.925,in_app,en,10,31.8,True,3.0,bluetooth pair fail between smartlock v2 and my other device,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative
MSG-1086,The CloudCam 360 I received is completely different from what was advertised.,complaint,negative,high,0.939,live_chat,en,12,42.4,True,3.0,the cloudcam 360 I receive be completely different from what be advertise,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1087,I need to change the shipping address for my DroneFlyer Mini order.,request,neutral,high,0.881,in_app,en,12,12.2,True,4.0,I need to change the shipping address for my droneflyer mini order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1088,My Robot Vacuum X battery drains in 9 hours even in standby mode.,technical_issue,negative,high,0.787,live_chat,en,13,51.2,True,3.0,my robot vacuum x battery drain in 9 hour even in standby mode,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1089,I need to change the shipping address for my DroneFlyer Mini order.,request,neutral,medium,0.922,phone,de,12,50.0,True,5.0,I need to change the shipping address for my droneflyer mini order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1090,I want to upgrade my DroneFlyer Mini to the premium version.,request,neutral,medium,0.981,phone,en,11,59.4,False,,I want to upgrade my droneflyer mini to the premium version,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0772,Positive
MSG-1091,Fastest delivery ever! Got my Robot Vacuum X in just 36 days.,feedback_positive,positive,low,0.732,social_media,en,12,45.1,True,5.0,fast delivery ever get my robot vacuum x in just 36 day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1092,Your Portable Monitor broke after just 30 days of use. Totally unacceptable.,complaint,negative,high,0.763,live_chat,en,12,67.2,True,1.0,your portable monitor break after just 30 day of use totally unacceptable,"{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.7264}",-0.7264,Negative
MSG-1093,The Ocean Blue AirBuds Max looks even better in person. Highly recommend.,feedback_positive,positive,low,0.72,email,en,12,34.4,True,5.0,the ocean blue airbuds max look even well in person highly recommend,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6901}",0.6901,Positive
MSG-1094,The Midnight Black screen on my SmartLock V2 keeps flickering randomly.,technical_issue,negative,high,0.739,live_chat,ar,11,27.6,True,1.0,the midnight black screen on my smartlock v2 keep flicker randomly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1095,Fastest delivery ever! Got my Portable Monitor in just 25 days.,feedback_positive,positive,low,0.863,live_chat,en,11,0.7,True,5.0,fast delivery ever get my portable monitor in just 25 day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
MSG-1096,I want to upgrade my E-Reader Glow to the premium version.,request,neutral,high,0.962,live_chat,en,11,10.2,True,5.0,I want to upgrade my ereader glow to the premium version,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0772,Positive
MSG-1097,Your StreamMax app makes managing my PowerBank Titan so easy.,feedback_positive,positive,low,0.915,in_app,pt,10,20.6,True,4.0,your streammax app make manage my powerbank titan so easy,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.5777}",0.5777,Positive
MSG-1098,Switched to your SmartLock V2 from a competitor and couldn't be happier.,feedback_positive,positive,low,0.854,email,en,12,8.2,True,5.0,switch to your smartlock v2 from a competitor and could not be happy,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.4168}",-0.4168,Negative
