message_id,text,intent_label,sentiment,urgency_level,classification_confidence,channel,language,word_count,response_time_hours,is_resolved,csat_score
MSG-1076,The Rose Gold PowerBank Titan looks even better in person. Highly recommend.,feedback_positive,positive,low,0.806,phone,ar,12,21.7,True,4
MSG-1077,Your TechCare Plus has been down for 60 hours and I can't access my account.,complaint,negative,high,0.809,in_app,en,15,30.8,False,
MSG-1078,Can I upgrade my StreamMax plan to include VR Headset Plus?,inquiry,neutral,low,0.841,in_app,en,11,31.0,True,4
MSG-1079,Do you offer a student discount on Smart Thermostat?,inquiry,neutral,medium,0.844,social_media,en,9,19.0,False,
MSG-1080,SecureNet VPN integration with DroneFlyer Mini stopped working yesterday.,technical_issue,negative,high,0.767,phone,pt,9,48.5,True,3
MSG-1081,The VR Headset Plus app crashes every time I open StreamMax.,technical_issue,negative,high,0.858,social_media,en,11,30.2,True,3
MSG-1082,Delete my account and all associated PhotoCloud data.,request,neutral,medium,0.758,phone,en,8,22.7,False,
MSG-1083,I'm getting error code E60324 when trying to use Robot Vacuum X.,technical_issue,negative,critical,0.83,in_app,ar,12,35.5,False,
MSG-1084,I need to change the shipping address for my AirBuds Max order.,request,neutral,medium,0.865,social_media,en,12,12.2,False,
MSG-1085,Bluetooth pairing fails between SmartLock V2 and my other devices.,technical_issue,negative,high,0.925,in_app,en,10,31.8,True,3
MSG-1086,The CloudCam 360 I received is completely different from what was advertised.,complaint,negative,high,0.939,live_chat,en,12,42.4,True,3
MSG-1087,I need to change the shipping address for my DroneFlyer Mini order.,request,neutral,high,0.881,in_app,en,12,12.2,True,4
MSG-1088,My Robot Vacuum X battery drains in 9 hours even in standby mode.,technical_issue,negative,high,0.787,live_chat,en,13,51.2,True,3
MSG-1089,I need to change the shipping address for my DroneFlyer Mini order.,request,neutral,medium,0.922,phone,de,12,50.0,True,5
MSG-1090,I want to upgrade my DroneFlyer Mini to the premium version.,request,neutral,medium,0.981,phone,en,11,59.4,False,
MSG-1091,Fastest delivery ever! Got my Robot Vacuum X in just 36 days.,feedback_positive,positive,low,0.732,social_media,en,12,45.1,True,5
MSG-1092,Your Portable Monitor broke after just 30 days of use. Totally unacceptable.,complaint,negative,high,0.763,live_chat,en,12,67.2,True,1
MSG-1093,The Ocean Blue AirBuds Max looks even better in person. Highly recommend.,feedback_positive,positive,low,0.72,email,en,12,34.4,True,5
MSG-1094,The Midnight Black screen on my SmartLock V2 keeps flickering randomly.,technical_issue,negative,high,0.739,live_chat,ar,11,27.6,True,1
MSG-1095,Fastest delivery ever! Got my Portable Monitor in just 25 days.,feedback_positive,positive,low,0.863,live_chat,en,11,0.7,True,5
MSG-1096,I want to upgrade my E-Reader Glow to the premium version.,request,neutral,high,0.962,live_chat,en,11,10.2,True,5
MSG-1097,Your StreamMax app makes managing my PowerBank Titan so easy.,feedback_positive,positive,low,0.915,in_app,pt,10,20.6,True,4
MSG-1098,Switched to your SmartLock V2 from a competitor and couldn't be happier.,feedback_positive,positive,low,0.854,email,en,12,8.2,True,5
MSG-1099,The SmartLock V2 app crashes every time I open CloudSync.,technical_issue,negative,critical,0.868,phone,es,10,12.5,False,
MSG-1100,I've been waiting 17 days for my DroneFlyer Mini and it still hasn't arrived.,complaint,negative,medium,0.89,in_app,en,14,36.1,False,
MSG-1101,Delete my account and all associated MusicStream data.,request,neutral,high,0.969,email,de,8,70.2,True,4
MSG-1102,Apply the promo code SAVE45 to my VR Headset Plus order.,request,neutral,medium,0.751,email,fr,11,44.1,True,4
MSG-1103,What's the return policy for SmartWatch Pro purchased 11 days ago?,inquiry,neutral,low,0.82,social_media,en,11,54.0,True,3
MSG-1104,Your SecureNet VPN has been down for 34 hours and I can't access my account.,complaint,negative,high,0.843,email,ar,15,26.0,False,
MSG-1105,Can't connect my PowerBank Titan to WiFi after the latest firmware update.,technical_issue,negative,critical,0.92,email,en,12,0.3,True,2
MSG-1106,I ordered a PowerBank Titan in Ocean Blue but received it in the wrong color.,complaint,negative,high,0.807,phone,en,15,30.0,True,2
MSG-1107,Terrible customer experience. Waited 44 minutes on hold about my PowerBank Titan.,complaint,negative,high,0.978,in_app,en,12,5.1,False,
MSG-1108,The Silver PowerBank Titan looks even better in person. Highly recommend.,feedback_positive,positive,low,0.92,in_app,en,11,17.5,True,5
MSG-1109,Bluetooth pairing fails between Smart Thermostat and my other devices.,technical_issue,negative,high,0.783,phone,en,10,25.0,True,2
MSG-1110,The quality of Robot Vacuum X has gone downhill. Very disappointed.,complaint,negative,medium,0.912,email,en,11,6.8,True,3
MSG-1111,I want to upgrade my LaptopAir M3 to the premium version.,request,neutral,high,0.873,email,pt,11,31.4,True,4
MSG-1112,The Sunset Orange Robot Vacuum X looks even better in person. Highly recommend.,feedback_positive,positive,low,0.74,social_media,en,13,14.7,True,4
MSG-1113,What's the return policy for HomeHub Speaker purchased 21 days ago?,inquiry,neutral,medium,0.803,live_chat,ar,11,19.2,True,3
MSG-1114,Do you offer a student discount on Robot Vacuum X?,inquiry,neutral,low,0.827,live_chat,es,10,3.6,True,4
MSG-1115,Can you tell me if the TabletX 12 is compatible with PhotoCloud?,inquiry,neutral,medium,0.753,email,en,12,4.5,True,4
MSG-1116,Can I upgrade my TechCare Plus plan to include PowerBank Titan?,inquiry,neutral,low,0.939,live_chat,ar,11,6.7,True,3
MSG-1117,I ordered a SmartWatch Pro in Coral Red but received it in the wrong color.,complaint,negative,high,0.767,phone,fr,15,15.5,True,2
MSG-1118,Been a loyal customer for 40 years. Portable Monitor quality never disappoints.,feedback_positive,positive,low,0.831,social_media,ar,12,39.7,True,4
MSG-1119,I've contacted support 13 times about my TabletX 12 issue with no resolution.,complaint,negative,high,0.987,in_app,en,13,56.3,True,3
MSG-1120,Bluetooth pairing fails between PowerBank Titan and my other devices.,technical_issue,negative,high,0.779,social_media,pt,10,64.5,True,1
MSG-1121,Transfer my GamePass Pro subscription to a different email address.,request,neutral,medium,0.94,social_media,de,10,66.1,True,4
MSG-1122,The PowerBank Titan overheats when running StreamMax for more than 16 minutes.,technical_issue,negative,critical,0.976,email,es,12,40.6,True,3
MSG-1123,My HomeHub Speaker battery drains in 6 hours even in standby mode.,technical_issue,negative,high,0.849,email,de,12,24.0,True,2
MSG-1124,The Portable Monitor exceeded my expectations. Great value for $166.00.,feedback_positive,positive,low,0.979,in_app,es,10,27.0,True,5
MSG-1125,The PowerBank Titan app crashes every time I open SmartHome Hub.,technical_issue,negative,high,0.911,social_media,en,11,40.5,True,2
MSG-1126,Can't connect my TabletX 12 to WiFi after the latest firmware update.,technical_issue,negative,high,0.769,in_app,en,12,23.0,True,3
MSG-1127,I ordered a HomeHub Speaker in Arctic White but received it in the wrong color.,complaint,negative,high,0.841,email,es,15,19.2,True,1
MSG-1128,The Midnight Black Smart Thermostat looks even better in person. Highly recommend.,feedback_positive,positive,low,0.958,phone,ar,12,25.4,True,5
MSG-1129,I ordered a Smart Thermostat in Rose Gold but received it in the wrong color.,complaint,negative,medium,0.791,email,es,15,7.6,True,2
MSG-1130,I need to change the shipping address for my E-Reader Glow order.,request,neutral,medium,0.836,phone,en,12,47.1,False,
MSG-1131,Can you tell me if the AirBuds Max is compatible with FitTrack AI?,inquiry,neutral,medium,0.784,social_media,en,13,3.7,False,
MSG-1132,Can you tell me if the PowerBank Titan is compatible with CloudSync?,inquiry,neutral,low,0.776,email,en,12,46.0,True,5
MSG-1133,I've contacted support 32 times about my Smart Thermostat issue with no resolution.,complaint,negative,high,0.77,in_app,fr,13,63.8,True,2
MSG-1134,I'd like to cancel my PhotoCloud subscription effective immediately.,request,neutral,medium,0.743,live_chat,en,9,24.8,False,
MSG-1135,The Sunset Orange screen on my SmartLock V2 keeps flickering randomly.,technical_issue,negative,critical,0.958,phone,pt,11,34.3,True,3
MSG-1136,My DroneFlyer Mini stopped working after the latest MusicStream update.,complaint,negative,medium,0.982,live_chat,en,10,58.2,True,1
MSG-1137,Please refund the $657.00 charged for VR Headset Plus order #87994.,request,neutral,high,0.743,social_media,en,11,40.1,True,4
MSG-1138,Bluetooth pairing fails between Portable Monitor and my other devices.,technical_issue,negative,high,0.873,live_chat,en,10,42.0,True,1
MSG-1139,The Smart Thermostat app crashes every time I open SmartHome Hub.,technical_issue,negative,high,0.884,phone,pt,11,2.8,True,3
MSG-1140,Is DroneFlyer Mini eligible for the current promotion?,inquiry,neutral,low,0.962,phone,en,8,1.6,True,4
MSG-1141,Been a loyal customer for 9 years. Robot Vacuum X quality never disappoints.,feedback_positive,positive,low,0.894,phone,pt,13,13.6,True,5
MSG-1142,I need an invoice for my Smart Thermostat purchase of $72.00.,request,neutral,medium,0.829,social_media,de,11,56.2,True,4
MSG-1143,Is the Robot Vacuum X available in Rose Gold?,inquiry,neutral,low,0.819,live_chat,en,9,33.5,False,
MSG-1144,I've been waiting 39 days for my FitBand Ultra and it still hasn't arrived.,complaint,negative,high,0.813,in_app,es,14,60.3,True,1
MSG-1145,Absolutely love my new TabletX 12! Best purchase I've made in 55 months.,feedback_positive,positive,low,0.793,live_chat,en,13,29.5,True,4
MSG-1146,I ordered a Portable Monitor in Ocean Blue but received it in the wrong color.,complaint,negative,medium,0.912,in_app,en,15,51.1,True,3
MSG-1147,I want to upgrade my LaptopAir M3 to the premium version.,request,neutral,high,0.722,in_app,en,11,72.0,True,4
MSG-1148,Your TechCare Plus team was incredibly helpful with my LaptopAir M3 setup.,feedback_positive,positive,low,0.76,social_media,en,12,55.1,True,4
MSG-1149,The VR Headset Plus overheats when running FitTrack AI for more than 47 minutes.,technical_issue,negative,high,0.825,phone,fr,14,2.6,True,2
MSG-1150,How do I track my VR Headset Plus order placed 33 days ago?,inquiry,neutral,low,0.746,live_chat,en,13,9.3,True,4
MSG-1151,Your FitTrack AI team was incredibly helpful with my FitBand Ultra setup.,feedback_positive,positive,low,0.878,social_media,en,12,33.4,True,4
MSG-1152,I'd like to cancel my GamePass Pro subscription effective immediately.,request,neutral,medium,0.863,email,fr,10,29.8,True,4
MSG-1153,What payment methods do you accept for TabletX 12?,inquiry,neutral,medium,0.805,social_media,en,9,4.3,False,
MSG-1154,Switched to your Smart Thermostat from a competitor and couldn't be happier.,feedback_positive,positive,low,0.891,in_app,fr,12,29.1,True,5
MSG-1155,I'd like to cancel my MusicStream subscription effective immediately.,request,neutral,medium,0.903,live_chat,en,9,45.2,True,4
MSG-1156,The Sunset Orange HomeHub Speaker looks even better in person. Highly recommend.,feedback_positive,positive,low,0.976,email,en,12,32.9,True,5
MSG-1157,I need to change the shipping address for my PowerBank Titan order.,request,neutral,medium,0.916,live_chat,en,12,9.5,True,4
MSG-1158,Your CloudSync has been down for 57 hours and I can't access my account.,complaint,negative,high,0.989,email,pt,14,47.7,True,1
MSG-1159,The quality of LaptopAir M3 has gone downhill. Very disappointed.,complaint,negative,high,0.834,email,en,10,7.4,True,3
MSG-1160,Can't connect my TabletX 12 to WiFi after the latest firmware update.,technical_issue,negative,high,0.774,email,ar,12,14.5,True,3
MSG-1161,What payment methods do you accept for E-Reader Glow?,inquiry,neutral,low,0.783,phone,es,9,1.0,True,3
MSG-1162,Bluetooth pairing fails between HomeHub Speaker and my other devices.,technical_issue,negative,critical,0.987,live_chat,ar,10,21.4,False,
MSG-1163,Your Robot Vacuum X broke after just 55 days of use. Totally unacceptable.,complaint,negative,medium,0.746,phone,en,13,54.6,True,1
MSG-1164,How long does shipping take for the PowerBank Titan to London?,inquiry,neutral,medium,0.828,live_chat,en,11,69.3,True,5
MSG-1165,Delete my account and all associated StreamMax data.,request,neutral,medium,0.85,phone,pt,8,41.0,False,
MSG-1166,Is TabletX 12 eligible for the current promotion?,inquiry,neutral,medium,0.839,email,fr,8,4.7,True,3
MSG-1167,GPS accuracy on my E-Reader Glow is off by 43 meters.,technical_issue,negative,critical,0.837,in_app,en,11,52.3,False,
MSG-1168,Your MusicStream app makes managing my HomeHub Speaker so easy.,feedback_positive,positive,low,0.74,phone,en,10,35.4,True,5
MSG-1169,The Rose Gold SmartWatch Pro looks even better in person. Highly recommend.,feedback_positive,positive,low,0.84,email,ar,12,41.3,True,4
MSG-1170,I need an invoice for my PowerBank Titan purchase of $684.00.,request,neutral,high,0.87,phone,en,11,0.1,True,4
MSG-1171,The FitBand Ultra microphone doesn't work during PhotoCloud calls.,technical_issue,negative,high,0.927,social_media,de,9,43.2,True,3
MSG-1172,Your Smart Thermostat broke after just 22 days of use. Totally unacceptable.,complaint,negative,high,0.732,social_media,en,12,11.9,True,3
MSG-1173,I've contacted support 8 times about my DroneFlyer Mini issue with no resolution.,complaint,negative,medium,0.749,live_chat,es,13,29.9,True,3
MSG-1174,Apply the promo code SAVE1 to my SmartLock V2 order.,request,neutral,high,0.97,in_app,ar,10,56.3,True,4
MSG-1175,What's the return policy for TabletX 12 purchased 57 days ago?,inquiry,neutral,medium,0.794,in_app,en,11,69.4,True,5
MSG-1176,How long does shipping take for the TabletX 12 to Mumbai?,inquiry,neutral,low,0.774,in_app,en,11,45.0,True,4
MSG-1177,How long does shipping take for the SmartLock V2 to Berlin?,inquiry,neutral,medium,0.975,in_app,pt,11,51.2,True,5
MSG-1178,My AirBuds Max stopped working after the latest CloudSync update.,complaint,negative,medium,0.905,live_chat,en,10,10.6,True,2
MSG-1179,How do I track my SmartWatch Pro order placed 7 days ago?,inquiry,neutral,low,0.784,in_app,fr,12,56.5,True,3
MSG-1180,Delete my account and all associated FitTrack AI data.,request,neutral,medium,0.966,phone,en,9,50.8,True,4
MSG-1181,Do you offer a student discount on LaptopAir M3?,inquiry,neutral,medium,0.795,email,fr,9,19.1,True,4
MSG-1182,Your StreamMax has been down for 10 hours and I can't access my account.,complaint,negative,high,0.852,in_app,en,14,41.3,True,1
MSG-1183,The new FitBand Ultra update is fantastic. Love the improvements.,feedback_positive,positive,low,0.829,in_app,de,10,25.2,True,5
MSG-1184,Fastest delivery ever! Got my PowerBank Titan in just 49 days.,feedback_positive,positive,low,0.901,email,en,11,32.1,True,5
MSG-1185,Your TechCare Plus has been down for 17 hours and I can't access my account.,complaint,negative,high,0.937,social_media,de,15,32.1,True,2
MSG-1186,What payment methods do you accept for SmartLock V2?,inquiry,neutral,low,0.901,email,en,9,55.7,False,
MSG-1187,The SmartLock V2 I received is completely different from what was advertised.,complaint,negative,medium,0.744,social_media,en,12,4.0,True,3
MSG-1188,Terrible customer experience. Waited 27 minutes on hold about my Robot Vacuum X.,complaint,negative,medium,0.725,phone,es,13,48.5,True,3
MSG-1189,Terrible customer experience. Waited 60 minutes on hold about my SmartWatch Pro.,complaint,negative,high,0.743,social_media,pt,12,55.1,False,
MSG-1190,Delete my account and all associated CloudSync data.,request,neutral,medium,0.8,phone,de,8,45.7,True,4
MSG-1191,My Robot Vacuum X stopped working after the latest MusicStream update.,complaint,negative,high,0.868,phone,de,11,6.2,True,2
MSG-1192,Can I upgrade my MusicStream plan to include Portable Monitor?,inquiry,neutral,medium,0.769,live_chat,en,10,57.6,True,5
MSG-1193,The CloudCam 360 app crashes every time I open TechCare Plus.,technical_issue,negative,high,0.901,social_media,en,11,17.0,True,3
MSG-1194,The PowerBank Titan I received is completely different from what was advertised.,complaint,negative,high,0.818,in_app,pt,12,22.8,False,
MSG-1195,Can you tell me if the PowerBank Titan is compatible with DataVault?,inquiry,neutral,medium,0.957,live_chat,es,12,33.4,True,4
MSG-1196,Transfer my StreamMax subscription to a different email address.,request,neutral,medium,0.918,live_chat,en,9,45.2,True,3
MSG-1197,I'm getting error code E37886 when trying to use Robot Vacuum X.,technical_issue,negative,high,0.867,in_app,en,12,71.9,False,
MSG-1198,What payment methods do you accept for TabletX 12?,inquiry,neutral,medium,0.744,in_app,de,9,26.3,True,4
MSG-1199,Can't connect my Smart Thermostat to WiFi after the latest firmware update.,technical_issue,negative,critical,0.974,live_chat,ar,12,3.0,False,
MSG-1200,What's the return policy for CloudCam 360 purchased 3 days ago?,inquiry,neutral,medium,0.968,phone,ar,11,63.5,True,4
MSG-1201,My VR Headset Plus stopped working after the latest SmartHome Hub update.,complaint,negative,medium,0.879,phone,es,12,64.7,True,3
MSG-1202,Your DataVault app makes managing my Portable Monitor so easy.,feedback_positive,positive,low,0.855,in_app,en,10,10.1,True,5
MSG-1203,What's the return policy for SmartLock V2 purchased 10 days ago?,inquiry,neutral,low,0.832,email,en,11,23.8,True,5
MSG-1204,I need an invoice for my FitBand Ultra purchase of $868.00.,request,neutral,medium,0.875,email,en,11,11.7,True,4
MSG-1205,I was charged $628.00 twice for the same CloudCam 360. Fix this immediately.,complaint,negative,high,0.778,social_media,en,13,43.7,False,
MSG-1206,I need to change the shipping address for my FitBand Ultra order.,request,neutral,medium,0.765,in_app,en,12,49.4,False,
MSG-1207,GPS accuracy on my AirBuds Max is off by 25 meters.,technical_issue,negative,high,0.905,in_app,de,11,59.5,True,2
MSG-1208,Apply the promo code SAVE33 to my DroneFlyer Mini order.,request,neutral,high,0.866,live_chat,pt,10,0.2,False,
MSG-1209,The PowerBank Titan overheats when running CloudSync for more than 28 minutes.,technical_issue,negative,high,0.746,in_app,pt,12,9.7,False,
MSG-1210,What's the return policy for CloudCam 360 purchased 27 days ago?,inquiry,neutral,low,0.861,email,pt,11,37.5,False,
MSG-1211,What payment methods do you accept for TabletX 12?,inquiry,neutral,medium,0.872,in_app,fr,9,44.1,False,
MSG-1212,Can I upgrade my MusicStream plan to include SmartLock V2?,inquiry,neutral,medium,0.876,social_media,en,10,55.8,False,
MSG-1213,What's the return policy for E-Reader Glow purchased 51 days ago?,inquiry,neutral,low,0.932,in_app,fr,11,57.7,True,4
MSG-1214,I'd like to cancel my TechCare Plus subscription effective immediately.,request,neutral,medium,0.78,email,en,10,5.9,True,5
MSG-1215,Apply the promo code SAVE46 to my VR Headset Plus order.,request,neutral,medium,0.723,phone,ar,11,61.3,True,4
MSG-1216,Terrible customer experience. Waited 40 minutes on hold about my SmartLock V2.,complaint,negative,high,0.743,email,en,12,19.9,False,
